REPORTNUMBER,LATITUDE,LONGITUDE
9525-2017-15638,34.071885,-117.880543
9525-2017-15656,34.065915,-117.993789
9525-2017-15646,34.066071,-117.992689
9525-2017-15672,34.071589,-117.768172
9120-2017-00079,41.766739,-124.193432
9650-2017-13395,33.052865,-117.28856
9245-2016-2469,38.774904,-120.418585
9265-2017-09493,37.829478,-121.217416
9580-2017-14503,34.233901,-118.473067
9335-2017-11732,37.708551,-122.395024
9365-2017-10320,38.408624,-121.907411
9840-2017-13403,33.879236,-117.546408
9465-2017-04726,37.711627,-121.085432
9280-2017-12147,38.550795,-121.473966
9370-2017-11711,37.846848,-122.29843
9630-2017-00334,33.663586,-115.860977
9530-2017-15286,33.89429,-118.365993
9850-2017-03835,34.388164,-117.411157
9760-2017-07772,34.421888,-119.62983
9465-2017-04870,37.725714,-121.103136
9550-2017-15732,33.886417,-118.104357
9840-2017-14945,33.925125,-117.556492
9855-2017-15148,34.134663,-117.658445
9345-2017-00727,37.524612,-121.991989
9675-2017-15503,33.646887,-117.74301
9345-2017-00728,37.713442,-122.170758
9330-2017-12914,37.572054,-122.315287
9575-2017-14754,34.167577,-118.300603
9365-2017-10486,38.269591,-122.052912
9725-2017-02865,37.005646,-121.557562
9760-2017-07807,34.428077,-119.574496
9765-2017-00482,34.29912,-119.30275
9760-2017-07814,34.427319,-119.7302
9565-2017-14978,34.031085,-118.433405
9725-2017-02892,37.211409,-121.724836
9340-2017-13219,37.36223,-121.884256
9840-2017-14593,33.942449,-117.277905
9590-2017-14890,33.985765,-118.280504
9370-2017-11731,37.876502,-122.306801
9565-2017-14577,33.947103,-118.368364
9840-2017-13610,33.943481,-117.284029
9590-2017-14757,34.058135,-118.253953
9340-2017-12686,37.36338,-121.895582
9530-2017-14952,33.917658,-118.285148
9770-2017-00300,34.290608,-118.807869
9630-2017-00288,33.771527,-116.33025
9565-2017-14730,34.017743,-118.42284
9535-2017-14976,34.039736,-118.051782
9650-2017-13178,33.027357,-117.275477
9252-2017-12670,38.545277,-121.473868
9680-2017-11936,32.856755,-116.824833
9370-2017-11945,37.772762,-122.226681
9345-2017-00690,37.485444,-121.939049
9330-2017-12865,37.586766,-122.335677
9550-2017-15711,34.003779,-118.064535
9530-2017-15448,33.826048,-118.248784
9580-2017-15115,34.126613,-118.475305
9345-2017-00754,37.581616,-122.049296
9720-2017-06843,37.106669,-121.976147
9580-2017-15099,34.259781,-118.472215
9126-2017-00141,40.270438,-123.852758
9840-2017-15040,33.871593,-117.666397
9265-2017-09896,38.087762,-121.182565
9720-2017-06604,36.970555,-121.873546
9575-2017-14281,34.189757,-118.324911
9420-2017-07763,35.27173,-118.914379
9535-2017-14736,33.98908,-118.138976
9645-2017-11675,32.764679,-117.156816
9720-2017-06684,37.118701,-121.975295
9390-2017-08958,37.559703,-121.91158
9575-2016-13450,34.206932,-118.202771
9450-2017-12147,36.973354,-120.074773
9265-2017-09715,37.972417,-121.246847
9340-2017-12881,37.310379,-121.823743
9265-2017-09451,37.871896,-121.277679
9480-2017-09541,35.804076,-119.25561
9530-2017-15104,33.810195,-118.287395
9365-2017-10436,38.418176,-121.89487
9252-2017-12798,38.542653,-121.47383
9246-2017-00883,38.849109,-120.026246
9252-2017-12806,38.559312,-121.454088
9860-2017-13856,34.250013,-117.443154
9565-2017-14921,33.956154,-118.369373
9645-2017-11965,32.901789,-117.221387
9370-2017-09788,37.870201,-122.30485
9645-2017-11646,32.752179,-117.198119
9530-2017-14873,33.872929,-118.268348
9330-2017-12687,37.49483,-122.227837
9345-2017-00502,37.571793,-122.045865
9222-2017-00941,39.378733,-120.024065
9465-2017-04634,37.686993,-121.057786
9860-2016-13312,34.073798,-117.295546
9465-2017-04267,37.638156,-121.081542
9525-2017-15155,34.112428,-117.979321
9720-2017-06694,37.017607,-122.027543
9390-2017-09028,37.513547,-121.939087
9540-2017-06086,34.274664,-118.471276
9575-2017-14707,34.148852,-118.047074
9420-2017-08000,35.262522,-118.622792
9265-2017-09744,37.836247,-121.217684
9370-2017-12087,37.891007,-122.307761
9335-2017-11921,37.639828,-122.405518
9535-2017-15326,34.007343,-118.172414
9525-2017-15677,34.009902,-117.823593
9525-2017-15528,34.071794,-117.872688
9525-2017-15530,34.071794,-117.872688
9335-2017-11924,37.62815,-122.489224
9650-2017-13243,33.039717,-117.283796
9525-2017-15408,34.068811,-117.972115
9650-2017-13402,33.085505,-117.2989
9525-2017-15078,34.076457,-117.745935
9335-2017-11707,37.672641,-122.390532
9645-2016-10627,32.772234,-117.207201
9252-2017-12509,38.457539,-121.410879
9725-2017-02770,36.902985,-121.556644
9565-2017-14558,34.100908,-118.477782
9260-2017-12196,38.61167,-121.263416
9252-2017-12570,38.543819,-121.473847
9590-2017-15081,34.043945,-118.272081
9745-2017-00276,35.142542,-120.639887
9770-2017-00311,34.28228,-118.785156
9345-2017-00635,37.614198,-122.071937
9550-2017-15402,33.923957,-118.104223
9550-2017-15678,34.004358,-118.063839
9465-2017-04868,37.61797,-120.992325
9840-2017-14955,34.011902,-117.4342
9840-2017-15056,33.939249,-117.195823
9550-2017-15659,33.943961,-118.09516
9840-2017-14788,33.939307,-117.148537
9840-2016-13251,33.825997,-117.524351
9260-2017-12347,38.561058,-121.357515
9260-2017-12337,38.600361,-121.277301
9840-2017-15047,33.938931,-117.136034
9770-2017-00333,34.263735,-118.994657
9725-2017-00128,36.968161,-121.412581
9550-2017-15477,33.894281,-118.047751
9550-2017-15821,34.005418,-117.959574
9330-2017-12938,37.538876,-122.282669
9340-2017-13267,37.440156,-121.889853
9550-2017-15720,34.029084,-118.013134
9760-2017-07821,34.426746,-119.72639
9265-2017-09761,37.812327,-121.295438
9550-2017-15962,34.019641,-118.050049
9720-2017-06799,36.97539,-121.904267
9685-2017-13340,33.657006,-117.293873
9590-2017-14694,34.056381,-118.25575
9590-2017-14820,34.028223,-118.207882
9246-2017-00871,38.703527,-120.067772
9345-2017-00513,37.50342,-121.962515
9675-2017-15027,33.628433,-117.720668
9330-2016-8146,37.56437,-122.306954
9330-2016-8314,37.564792,-122.307417
9765-2017-00346,34.219621,-119.076047
9720-2017-06678,36.988333,-122.005032
9450-2017-12158,36.963148,-120.066534
9465-2017-04841,37.725029,-121.102414
9525-2017-15497,34.065506,-117.799436
9650-2017-13277,33.189389,-117.361545
9655-2017-13181,33.927149,-116.957379
9530-2017-15261,33.8442,-118.268206
9725-2017-02791,36.981735,-121.558115
9565-2017-14953,33.946231,-118.368354
9252-2017-12920,38.553219,-121.436635
9590-2017-15593,33.996113,-118.280553
9525-2017-15546,34.075311,-117.998572
9330-2017-12727,37.430545,-122.103752
9535-2017-15412,34.039797,-118.05212
9252-2017-12876,38.55624,-121.442957
9690-2017-00451,33.410071,-117.600612
9465-2017-04925,37.70271,-121.073855
9645-2017-12028,32.83356,-117.169617
9860-2017-13423,34.351666368545494,-117.4386798074545
9565-2017-14556,33.961113,-118.369355
9860-2017-13461,34.324461,-117.482188
9770-2017-00244,34.263944,-118.9873
9840-2017-13611,33.93931,-117.148014
9590-2017-14759,34.048745,-118.265234
9535-2017-14790,34.036541,-118.161245
9265-2017-09589,37.944857,-120.935987
9770-2016-9555,34.408941,-118.787725
9750-2017-00270,34.765869,-120.422779
9530-2017-14966,33.872631,-118.272175
9280-2017-12129,38.548483,-121.473916
9840-2017-14817,33.878147,-117.658312
